"V1","location_name","date","allbed_mean","allbed_lower","allbed_upper","ICUbed_mean","ICUbed_lower","ICUbed_upper","InvVen_mean","InvVen_lower","InvVen_upper","deaths_mean","deaths_lower","deaths_upper","admis_mean","admis_lower","admis_upper","newICU_mean","newICU_lower","newICU_upper","totdea_mean","totdea_lower","totdea_upper","bedover_mean","bedover_lower","bedover_upper","icuover_mean","icuover_lower","icuover_upper","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
8196,"Delaware","2020-04-19",187.87571789778,176.59875,200.611622807018,54.1174075027312,52.1,56.35,49.5885628187645,47.8998684210526,51.4119969040248,5,5,5,29.9770753014229,25.6307894736842,35.4005263157895,8.73458804548135,8.09928571428572,9.47368421052632,66,66,66,0,0,0,13.1174075027312,11.1,15.35,"observed",-52.95309442516,"observed",436.748886162749,157.763146347945,1156.5752705204,"647.113212721224","2335.51939503026"
8197,"Delaware","2020-04-20",201.78782541497,189.7,214.00125,57.9924272675939,55.8410526315789,60.25125,53.2332555273931,51.3748355263158,55.1112745098039,6,6,6,34.2270426914288,29.2096749226006,39.7035526315789,9.74020947929779,9.1,10.5263157894737,72,72,72,0,0,0,16.9924272675939,14.841052631579,19.25125,"observed",-52.5891416352539,"observed",397.52017174019,164.322956053785,1130.52913851632,"578.125853376024","2366.37920141393"
8198,"Delaware","2020-04-21",214.370511715422,201.29875,227.830441176471,61.1672127204323,59.0525657894737,63.55,56.0914766370111,54.3153947368421,58.0501388888889,6,6,6,34.1534708274268,29.3667105263158,40.0515277777778,10.0316543220797,9.34958333333333,10.80125,78,78,78,0,0,0,20.1672127204323,18.0525657894737,22.55,"observed",-52.2428145528196,"observed",367.249765454682,171.188011893697,1097.68578634291,"506.468063230487","2430.20354795052"
8199,"Delaware","2020-04-22",224.072307747546,211.045,237.779583333333,64.0318508029123,61.69875,66.5006578947368,58.7389372428526,56.8745535714286,60.7506944444444,6,6,6,34.2801026578513,29.3684210526316,39.80125,10.0320546716055,9.35,10.8948684210526,84,84,84,0,0,0,23.0318508029123,20.69875,25.5006578947368,"observed",-51.9117114841166,"observed",356.523680802066,178.743951425341,1065.72282671634,"453.392522546355","2476.59202152096"
8200,"Delaware","2020-04-23",238.21710403866,224.575723684211,252.752302631579,68.1958088137009,65.8947368421053,70.6471323529412,62.5939011703467,60.6495394736842,64.6855263157895,7,7,7,38.6576921606902,33.7881578947368,44.6332894736842,11.3129224611775,10.55,12.1578947368421,91,91,91,0,0,0,27.1958088137009,24.8947368421053,29.6471323529412,"observed",-51.5907117762441,"observed",370.323835142221,187.557791618404,1031.35695909916,"416.540395079865","2494.70599747643"
8201,"Delaware","2020-04-24",250.738251570527,235.69875,265.05375,71.3610307106378,68.9401470588235,73.7894736842105,65.4532897048428,63.5,67.5885294117647,7,7,7,38.4199530243879,32.946052631579,44.3078125,11.3190962882791,10.6,12.2,98,98,98,0,0,0,30.3610307106378,27.9401470588235,32.7894736842105,"observed",-51.272864378328,"observed",407.679203773679,197.729816649617,992.715644058282,"370.473325903926","2517.69955301789"
8202,"Delaware","2020-04-25",260.54944681056,245.448472222222,274.8575,74.5281310361122,72.09875,77.1767463235294,68.3260886446414,66.3157072368421,70.5270467836257,8,8,8,38.6668974269195,33.49875,44.5844736842105,11.3359684984993,10.6,12.1578947368421,106,106,106,0,0,0,33.5281310361121,31.09875,36.1767463235294,"observed",-50.9514573398346,"observed",460.357212351357,208.138859825865,964.479548337838,"341.019963440296","2558.83567471139"
8203,"Delaware","2020-04-26",273.268440704892,258.609583333333,289.125446428571,77.7019081203669,75.2628289473684,80.3541176470588,71.2022037012781,69.0554824561404,73.4210526315789,8,8,8,42.8324311132753,37.3121875,49.4025,12.6245313306362,11.8421052631579,13.5,114,114,114,0,0,0,36.7019081203669,34.2628289473684,39.3541176470588,"observed",-50.6199511659637,"observed",512.643409561208,216.511977446262,946.83829928332,"316.725667049986","2622.3577077422"
8204,"Delaware","2020-04-27",283.672431283998,263.69875,314.604411764706,81.0394981334369,77.1,88.3852941176471,74.2236973037798,70.5,80.8345588235294,8.001,8,8,43.4670752597463,30.55,69.64375,12.7899738729837,9.8,18.9426470588235,122.001,122,122,0,0,0,40.0394981334369,36.1,47.3852941176471,"observed",-50.2699483758409,"observed",547.032771084363,220.756420392387,937.064906661078,"294.915588431555","2691.17981987153"
8205,"Delaware","2020-04-28",295.056264355979,265.08875,349.767463235294,84.5416854246287,78.15,97.6173076923077,77.4201249385247,71.2,90.1204751131222,9,9,9,44.3730820024704,29.695,71.2613970588235,12.9461713679466,9.8,19.1779411764706,131.001,131,131,0,0,0,43.5416854246287,37.15,56.6173076923077,"observed",-49.8966220565374,"observed",554.414171878966,221.074386111268,921.37616861843,"272.218341388323","2732.8376587014"
8206,"Delaware","2020-04-29",306.190583458836,263.5,387.021875,87.5533194710003,78.15,107.060294117647,80.0519759511429,70.8475,99.3759191176471,9,9,9,45.246321435234,30.34875,74.5015625,13.4769218392418,10.15,20.2367647058824,140.001,140,140,0,0,0,46.5533194710003,37.15,66.0602941176471,"projected",-49.6982474667191,"observed",538.378672901451,220.996346538198,895.477993315726,"249.045788420591","2756.21851023084"
8207,"Delaware","2020-04-30",313.696221002072,258.49875,427.449479166667,90.573882025624,77.54875,118.388235294118,82.6820275495961,70.09625,110.079411764706,9,9,9,44.9895526196714,29.45,77.93125,13.4822974691159,9.39875,22.0073529411765,149.001,149,149,0,0,0,49.573882025624,36.54875,77.3882352941176,"projected",-49.5928370634049,"observed",510.056960458226,226.035164658297,877.565054493353,"231.523037665832","2796.46914454353"
8208,"Delaware","2020-05-01",321.002332191669,252.5475,462.896599264706,93.2693530411625,76.3975,130.476470588235,85.0469587656925,68.69875,121.413970588235,10,10,10,44.5674742009152,28.5,76.4617647058824,13.4439633948181,8.9,22.7085477941176,159.001,159,159,0,0,0,52.2693530411625,35.3975,89.4764705882353,"projected",-49.5368250855753,"observed",480.584669341722,240.423988640887,877.1675919725,"220.040649137681","2851.14214838129"
8209,"Delaware","2020-05-02",326.337673657891,243.83,497.586538461538,94.8396114327107,73.94875,141.776470588235,86.2786991114665,66.14875,131.565745192308,10.179,7,16,43.8410516019498,27.54875,75.8470588235294,13.3048464370296,8.85,23.0631221719457,169.18,166,175,0,0,0,53.8396114327107,32.94875,100.776470588235,"projected",-49.50706197338,"observed",458.060135713148,,872.874234525769,"208.078891912318","2875.94982320598"
8210,"Delaware","2020-05-03",327.542390165317,232.2425,532.977262443439,95.9586083826648,72.9,147.234375,87.0524462849242,64.94875,136.321139705882,10.342,7,17,42.7635135743299,24.84625,77.9473345588235,13.0382064292519,8.2,23.2525735294118,179.522,173,192,0,0,0,54.9586083826648,31.9,106.234375,"projected",-49.4912467338211,"projected",466.014108593027,,854.183669528056,"192.82397428102","2916.84128357716"
